VEICULO,TIPO CHASSI,TIPO DE VEICULO,MODELO/TIPO,AMARELA,VERDE,DOURADA,CAPACIDADE TANQUE
21133,VOLKS 17.230 - CONVENCIONAL - AR,CONVENCIONAL,VOLKS 17.230 - CONVENCIONAL - AR,2.07,2.17,2.27,300
21135,VOLKS 17.230 - CONVENCIONAL - AR,CONVENCIONAL,VOLKS 17.230 - CONVENCIONAL - AR,2.07,2.17,2.27,300
21137,VOLKS 17.230 - CONVENCIONAL - AR,CONVENCIONAL,VOLKS 17.230 - CONVENCIONAL - AR,2.07,2.17,2.27,300
21136,VOLKS 17.230 - CONVENCIONAL - AR,CONVENCIONAL,VOLKS 17.230 - CONVENCIONAL - AR,2.07,2.17,2.27,300
21171,VOLKS 17.230 - CONVENCIONAL - AR,CONVENCIONAL,VOLKS 17.230 - CONVENCIONAL - AR,2.07,2.17,2.27,300
21172,VOLKS 17.230 - CONVENCIONAL - AR,CONVENCIONAL,VOLKS 17.230 - CONVENCIONAL - AR,2.07,2.17,2.27,300
21173,VOLKS 17.230 - CONVENCIONAL - AR,CONVENCIONAL,VOLKS 17.230 - CONVENCIONAL - AR,2.07,2.17,2.27,300
21174,VOLKS 17.230 - CONVENCIONAL - AR,CONVENCIONAL,VOLKS 17.230 - CONVENCIONAL - AR,2.07,2.17,2.27,300
21175,VOLKS 17.230 - CONVENCIONAL - AR,CONVENCIONAL,VOLKS 17.230 - CONVENCIONAL - AR,2.07,2.17,2.27,300
21176,VOLKS 17.230 - CONVENCIONAL - AR,CONVENCIONAL,VOLKS 17.230 - CONVENCIONAL - AR,2.07,2.17,2.27,300
21178,VOLKS 17.230 - CONVENCIONAL - AR,CONVENCIONAL,VOLKS 17.230 - CONVENCIONAL - AR,2.07,2.17,2.27,300
21179,VOLKS 17.230 - CONVENCIONAL - AR,CONVENCIONAL,VOLKS 17.230 - CONVENCIONAL - AR,2.07,2.17,2.27,300
21180,VOLKS 17.230 - CONVENCIONAL - AR,CONVENCIONAL,VOLKS 17.230 - CONVENCIONAL - AR,2.07,2.17,2.27,300
21181,VOLKS 17.230 - CONVENCIONAL - AR,CONVENCIONAL,VOLKS 17.230 - CONVENCIONAL - AR,2.07,2.17,2.27,300
21182,VOLKS 17.230 - CONVENCIONAL - AR,CONVENCIONAL,VOLKS 17.230 - CONVENCIONAL - AR,2.07,2.17,2.27,300
21183,VOLKS 17.230 - CONVENCIONAL - AR,CONVENCIONAL,VOLKS 17.230 - CONVENCIONAL - AR,2.07,2.17,2.27,300
21184,VOLKS 17.230 - CONVENCIONAL - AR,CONVENCIONAL,VOLKS 17.230 - CONVENCIONAL - AR,2.07,2.17,2.27,300
21185,VOLKS 17.230 - CONVENCIONAL - AR,CONVENCIONAL,VOLKS 17.230 - CONVENCIONAL - AR,2.07,2.17,2.27,300
21186,VOLKS 17.230 - CONVENCIONAL - AR,CONVENCIONAL,VOLKS 17.230 - CONVENCIONAL - AR,2.07,2.17,2.27,300
21187,VOLKS 17.230 - CONVENCIONAL - AR,CONVENCIONAL,VOLKS 17.230 - CONVENCIONAL - AR,2.07,2.17,2.27,300
21188,VOLKS 17.230 - CONVENCIONAL - AR,CONVENCIONAL,VOLKS 17.230 - CONVENCIONAL - AR,2.07,2.17,2.27,300
21189,VOLKS 17.230 - CONVENCIONAL - AR,CONVENCIONAL,VOLKS 17.230 - CONVENCIONAL - AR,2.07,2.17,2.27,300
21190,VOLKS 17.230 - CONVENCIONAL - AR,CONVENCIONAL,VOLKS 17.230 - CONVENCIONAL - AR,2.07,2.17,2.27,300
21191,VOLKS 17.230 - CONVENCIONAL - AR,CONVENCIONAL,VOLKS 17.230 - CONVENCIONAL - AR,2.07,2.17,2.27,300
21192,VOLKS 17.230 - CONVENCIONAL - AR,CONVENCIONAL,VOLKS 17.230 - CONVENCIONAL - AR,2.07,2.17,2.27,300
21193,VOLKS 17.230 - CONVENCIONAL - AR,CONVENCIONAL,VOLKS 17.230 - CONVENCIONAL - AR,2.07,2.17,2.27,300
21194,VOLKS 17.230 - CONVENCIONAL - AR,CONVENCIONAL,VOLKS 17.230 - CONVENCIONAL - AR,2.07,2.17,2.27,300
10847,VOLVO B270F - PADRON,PADRON,VOLVO B270F - PADRON,1.72,1.80,1.89,300
10848,VOLVO B270F - PADRON,PADRON,VOLVO B270F - PADRON,1.72,1.80,1.89,300
10849,VOLVO B270F - PADRON,PADRON,VOLVO B270F - PADRON,1.72,1.80,1.89,300
10850,VOLVO B270F - PADRON,PADRON,VOLVO B270F - PADRON,1.72,1.80,1.89,300
21195,VOLKS 17.230 - CONVENCIONAL - AR,CONVENCIONAL,VOLKS 17.230 - CONVENCIONAL - AR,2.07,2.17,2.27,300
21196,VOLKS 17.230 - CONVENCIONAL - AR,CONVENCIONAL,VOLKS 17.230 - CONVENCIONAL - AR,2.07,2.17,2.27,300
21197,VOLKS 17.230 - CONVENCIONAL - AR,CONVENCIONAL,VOLKS 17.230 - CONVENCIONAL - AR,2.07,2.17,2.27,300
21198,VOLKS 17.230 - CONVENCIONAL - AR,CONVENCIONAL,VOLKS 17.230 - CONVENCIONAL - AR,2.07,2.17,2.27,300
21199,VOLKS 17.230 - CONVENCIONAL - AR,CONVENCIONAL,VOLKS 17.230 - CONVENCIONAL - AR,2.07,2.17,2.27,300
21200,VOLKS 17.230 - CONVENCIONAL - AR,CONVENCIONAL,VOLKS 17.230 - CONVENCIONAL - AR,2.07,2.17,2.27,300
21201,VOLKS 17.230 - CONVENCIONAL - AR,CONVENCIONAL,VOLKS 17.230 - CONVENCIONAL - AR,2.07,2.17,2.27,300
21202,VOLKS 17.230 - CONVENCIONAL - AR,CONVENCIONAL,VOLKS 17.230 - CONVENCIONAL - AR,2.07,2.17,2.27,300
